version,N,M,runtime,problemSize,bandwith
Atomic,4096,2048,0.000154,33.579,218.046
Partial_reduction,4096,2048,0.000166,33.579,202.283
Reduction,4096,2048,0.000104,33.579,322.875
Sequentiel,4096,2048,0.01122,67.158,5.98556
Basic,4096,2048,0.004467,67.158,15.0343
Atomic,4096,2048,0.000101,33.579,332.465
Partial_reduction,4096,2048,0.000233,33.579,144.116
Reduction,4096,2048,0.000104,33.579,322.875
Sequentiel,4096,2048,0.01111,67.158,6.04483
Basic,4096,2048,0.004445,67.158,15.1087
Atomic,4096,2048,0.000111,33.579,302.514
Partial_reduction,4096,2048,0.000111,33.579,302.514
Reduction,4096,2048,0.00018,33.579,186.55
Sequentiel,4096,2048,0.011438,67.158,5.87148
Basic,4096,2048,0.004472,67.158,15.0174
Atomic,4096,2048,0.00018,33.579,186.55
Partial_reduction,4096,2048,0.000131,33.579,256.328
Reduction,4096,2048,0.00018,33.579,186.55
Sequentiel,4096,2048,0.011166,67.158,6.01451
Basic,4096,2048,0.004465,67.158,15.041
Atomic,4096,2048,0.000105,33.579,319.8
Partial_reduction,4096,2048,0.000116,33.579,289.474
Reduction,4096,2048,0.000141,33.579,238.149
Sequentiel,4096,2048,0.011664,67.158,5.75772
Basic,4096,2048,0.004418,67.158,15.201
Atomic,4096,2048,0.000132,33.579,254.386
Partial_reduction,4096,2048,0.000136,33.579,246.904
Reduction,4096,2048,0.000116,33.579,289.474
Sequentiel,4096,2048,0.012026,67.158,5.5844
Basic,4096,2048,0.004415,67.158,15.2113
Atomic,4096,2048,0.00025,33.579,134.316
Partial_reduction,4096,2048,0.000187,33.579,179.567
Reduction,4096,2048,0.000174,33.579,192.983
Sequentiel,4096,2048,0.016151,67.158,4.15813
Basic,4096,2048,0.004399,67.158,15.2667
Atomic,4096,2048,0.000129,33.579,260.302
Partial_reduction,4096,2048,0.000109,33.579,308.064
Reduction,4096,2048,0.000234,33.579,143.5
Sequentiel,4096,2048,0.011208,67.158,5.99197
Basic,4096,2048,0.004528,67.158,14.8317
Atomic,4096,2048,0.000142,33.579,236.472
Partial_reduction,4096,2048,0.000214,33.579,156.911
Reduction,4096,2048,0.0001,33.579,335.79
Sequentiel,4096,2048,0.010837,67.158,6.1971
Basic,4096,2048,0.004446,67.158,15.1053
Atomic,4096,2048,0.000193,33.579,173.984
Partial_reduction,4096,2048,0.000118,33.579,284.568
Reduction,4096,2048,0.000104,33.579,322.875
Sequentiel,4096,2048,0.013124,67.158,5.11719
Basic,4096,2048,0.004375,67.158,15.3504
Atomic,4096,2048,0.000106,33.579,316.783
Partial_reduction,4096,2048,0.000166,33.579,202.283
Reduction,4096,2048,0.000108,33.579,310.917
Sequentiel,4096,2048,0.011024,67.158,6.09198
Basic,4096,2048,0.004467,67.158,15.0343
Atomic,4096,2048,0.000102,33.579,329.206
Partial_reduction,4096,2048,0.000111,33.579,302.514
Reduction,4096,2048,0.000105,33.579,319.8
Sequentiel,4096,2048,0.011336,67.158,5.92431
Basic,4096,2048,0.004432,67.158,15.153
Atomic,4096,2048,0.000143,33.579,234.818
Partial_reduction,4096,2048,0.000123,33.579,273
Reduction,4096,2048,0.00014,33.579,239.85
Sequentiel,4096,2048,0.011089,67.158,6.05627
Basic,4096,2048,0.00451,67.158,14.8909
Atomic,4096,2048,0.000224,33.579,149.906
Partial_reduction,4096,2048,9.7e-05,33.579,346.175
Reduction,4096,2048,0.000142,33.579,236.472
Sequentiel,4096,2048,0.011589,67.158,5.79498
Basic,4096,2048,0.004479,67.158,14.994
Atomic,4096,2048,0.000145,33.579,231.579
Partial_reduction,4096,2048,0.000153,33.579,219.471
Reduction,4096,2048,0.000156,33.579,215.25
Sequentiel,4096,2048,0.01135,67.158,5.91701
Basic,4096,2048,0.004433,67.158,15.1496
Atomic,4096,2048,0.000343,33.579,97.898
Partial_reduction,4096,2048,0.000168,33.579,199.875
Reduction,4096,2048,0.000144,33.579,233.188
Sequentiel,4096,2048,0.012058,67.158,5.56958
Basic,4096,2048,0.004478,67.158,14.9973
Atomic,4096,2048,0.000147,33.579,228.429
Partial_reduction,4096,2048,0.00011,33.579,305.264
Reduction,4096,2048,0.000189,33.579,177.667
Sequentiel,4096,2048,0.010623,67.158,6.32194
Basic,4096,2048,0.004412,67.158,15.2217
Atomic,4096,2048,0.000115,33.579,291.991
Partial_reduction,4096,2048,0.000117,33.579,287
Reduction,4096,2048,0.000218,33.579,154.032
Sequentiel,4096,2048,0.013137,67.158,5.11213
Basic,4096,2048,0.004453,67.158,15.0815
Atomic,4096,2048,0.000124,33.579,270.798
Partial_reduction,4096,2048,0.000203,33.579,165.414
Reduction,4096,2048,0.000226,33.579,148.58
Sequentiel,4096,2048,0.011373,67.158,5.90504
Basic,4096,2048,0.004438,67.158,15.1325
Atomic,4096,2048,0.000117,33.579,287
Partial_reduction,4096,2048,0.000124,33.579,270.798
Reduction,4096,2048,0.000122,33.579,275.238
Sequentiel,4096,2048,0.011322,67.158,5.93164
Basic,4096,2048,0.004485,67.158,14.9739
Atomic,4096,2048,0.000112,33.579,299.813
Partial_reduction,4096,2048,0.000112,33.579,299.813
Reduction,4096,2048,0.000121,33.579,277.512
Sequentiel,4096,2048,0.011187,67.158,6.00322
Basic,4096,2048,0.004464,67.158,15.0444
Atomic,4096,2048,0.000108,33.579,310.917
Partial_reduction,4096,2048,0.000167,33.579,201.072
Reduction,4096,2048,0.000195,33.579,172.2
Sequentiel,4096,2048,0.010973,67.158,6.1203
Basic,4096,2048,0.004437,67.158,15.1359
Atomic,4096,2048,0.000147,33.579,228.429
Partial_reduction,4096,2048,0.00012,33.579,279.825
Reduction,4096,2048,0.000211,33.579,159.142
Sequentiel,4096,2048,0.01031,67.158,6.51387
Basic,4096,2048,0.004516,67.158,14.8711
Atomic,4096,2048,0.000102,33.579,329.206
Partial_reduction,4096,2048,0.000161,33.579,208.565
Reduction,4096,2048,9.7e-05,33.579,346.175
Sequentiel,4096,2048,0.010385,67.158,6.46683
Basic,4096,2048,0.004382,67.158,15.3259
Atomic,4096,2048,0.000142,33.579,236.472
Partial_reduction,4096,2048,0.000117,33.579,287
Reduction,4096,2048,0.000155,33.579,216.639
Sequentiel,4096,2048,0.01102,67.158,6.09419
Basic,4096,2048,0.004465,67.158,15.041
Atomic,4096,2048,0.00012,33.579,279.825
Partial_reduction,4096,2048,0.000103,33.579,326.01
Reduction,4096,2048,0.000243,33.579,138.185
Sequentiel,4096,2048,0.013271,67.158,5.06051
Basic,4096,2048,0.004436,67.158,15.1393
Atomic,4096,2048,0.000165,33.579,203.509
Partial_reduction,4096,2048,0.000143,33.579,234.818
Reduction,4096,2048,0.000116,33.579,289.474
Sequentiel,4096,2048,0.010961,67.158,6.127
Basic,4096,2048,0.004488,67.158,14.9639
Atomic,4096,2048,0.000142,33.579,236.472
Partial_reduction,4096,2048,0.000216,33.579,155.458
Reduction,4096,2048,0.000323,33.579,103.96
Sequentiel,4096,2048,0.017681,67.158,3.79832
Basic,4096,2048,0.004452,67.158,15.0849
Atomic,4096,2048,0.000145,33.579,231.579
Partial_reduction,4096,2048,0.000141,33.579,238.149
Reduction,4096,2048,0.00015,33.579,223.86
Sequentiel,4096,2048,0.010881,67.158,6.17204
Basic,4096,2048,0.004463,67.158,15.0477
Atomic,4096,2048,0.000134,33.579,250.59
Partial_reduction,4096,2048,0.000107,33.579,313.822
Reduction,4096,2048,0.000181,33.579,185.519
Sequentiel,4096,2048,0.011737,67.158,5.72191
Basic,4096,2048,0.004494,67.158,14.9439
Atomic,4096,2048,0.000114,33.579,294.553
Partial_reduction,4096,2048,0.000153,33.579,219.471
Reduction,4096,2048,0.000107,33.579,313.822
Sequentiel,4096,2048,0.012478,67.158,5.38211
Basic,4096,2048,0.004431,67.158,15.1564
Atomic,4096,2048,0.000139,33.579,241.576
Partial_reduction,4096,2048,0.000105,33.579,319.8
Reduction,4096,2048,0.000197,33.579,170.452
Sequentiel,4096,2048,0.010461,67.158,6.41985
Basic,4096,2048,0.004438,67.158,15.1325
Atomic,4096,2048,0.000186,33.579,180.532
Partial_reduction,4096,2048,0.000241,33.579,139.332
Reduction,4096,2048,0.000121,33.579,277.512
Sequentiel,4096,2048,0.01211,67.158,5.54567
Basic,4096,2048,0.004479,67.158,14.994
Atomic,4096,2048,0.000146,33.579,229.993
Partial_reduction,4096,2048,0.000187,33.579,179.567
Reduction,4096,2048,0.000192,33.579,174.891
Sequentiel,4096,2048,0.010055,67.158,6.67907
Basic,4096,2048,0.004504,67.158,14.9107
Atomic,4096,2048,0.00027,33.579,124.367
Partial_reduction,4096,2048,0.000151,33.579,222.378
Reduction,4096,2048,0.000185,33.579,181.508
Sequentiel,4096,2048,0.014912,67.158,4.50362
Basic,4096,2048,0.004423,67.158,15.1838
Atomic,4096,2048,0.000128,33.579,262.336
Partial_reduction,4096,2048,0.000104,33.579,322.875
Reduction,4096,2048,0.000125,33.579,268.632
Sequentiel,4096,2048,0.011604,67.158,5.78749
Basic,4096,2048,0.004434,67.158,15.1461
Atomic,4096,2048,0.000113,33.579,297.159
Partial_reduction,4096,2048,0.000125,33.579,268.632
Reduction,4096,2048,0.00014,33.579,239.85
Sequentiel,4096,2048,0.01124,67.158,5.97491
Basic,4096,2048,0.004408,67.158,15.2355
Atomic,4096,2048,0.000138,33.579,243.326
Partial_reduction,4096,2048,0.000118,33.579,284.568
Reduction,4096,2048,0.00014,33.579,239.85
Sequentiel,4096,2048,0.010291,67.158,6.5259
Basic,4096,2048,0.004423,67.158,15.1838
Atomic,4096,2048,0.000149,33.579,225.362
Partial_reduction,4096,2048,0.00012,33.579,279.825
Reduction,4096,2048,0.00011,33.579,305.264
Sequentiel,4096,2048,0.010549,67.158,6.36629
Basic,4096,2048,0.004474,67.158,15.0107
Atomic,4096,2048,0.000116,33.579,289.474
Partial_reduction,4096,2048,0.000149,33.579,225.362
Reduction,4096,2048,0.000174,33.579,192.983
Sequentiel,4096,2048,0.011097,67.158,6.05191
Basic,4096,2048,0.004491,67.158,14.9539
Atomic,4096,2048,0.000109,33.579,308.064
Partial_reduction,4096,2048,0.000192,33.579,174.891
Reduction,4096,2048,0.000112,33.579,299.813
Sequentiel,4096,2048,0.011531,67.158,5.82413
Basic,4096,2048,0.004426,67.158,15.1735
Atomic,4096,2048,0.00014,33.579,239.85
Partial_reduction,4096,2048,0.000146,33.579,229.993
Reduction,4096,2048,0.000109,33.579,308.064
Sequentiel,4096,2048,0.012092,67.158,5.55392
Basic,4096,2048,0.004443,67.158,15.1155
Atomic,4096,2048,0.000161,33.579,208.565
Partial_reduction,4096,2048,0.000191,33.579,175.806
Reduction,4096,2048,0.000113,33.579,297.159
Sequentiel,4096,2048,0.012554,67.158,5.34953
Basic,4096,2048,0.004424,67.158,15.1804
Atomic,4096,2048,0.00014,33.579,239.85
Partial_reduction,4096,2048,9.8e-05,33.579,342.643
Reduction,4096,2048,0.000141,33.579,238.149
Sequentiel,4096,2048,0.010912,67.158,6.15451
Basic,4096,2048,0.004474,67.158,15.0107
Atomic,4096,2048,0.000102,33.579,329.206
Partial_reduction,4096,2048,0.000136,33.579,246.904
Reduction,4096,2048,0.000148,33.579,226.885
Sequentiel,4096,2048,0.015379,67.158,4.36686
Basic,4096,2048,0.004455,67.158,15.0748
Atomic,4096,2048,0.000152,33.579,220.915
Partial_reduction,4096,2048,0.000235,33.579,142.889
Reduction,4096,2048,0.000145,33.579,231.579
Sequentiel,4096,2048,0.012388,67.158,5.42122
Basic,4096,2048,0.004442,67.158,15.1189
Atomic,4096,2048,0.000114,33.579,294.553
Partial_reduction,4096,2048,0.000102,33.579,329.206
Reduction,4096,2048,0.000127,33.579,264.402
Sequentiel,4096,2048,0.010514,67.158,6.38748
Basic,4096,2048,0.004473,67.158,15.0141
Atomic,4096,2048,0.000108,33.579,310.917
Partial_reduction,4096,2048,0.000136,33.579,246.904
Reduction,4096,2048,0.000104,33.579,322.875
Sequentiel,4096,2048,0.011169,67.158,6.01289
Basic,4096,2048,0.004541,67.158,14.7893
Atomic,4096,2048,0.000103,33.579,326.01
Partial_reduction,4096,2048,0.000174,33.579,192.983
Reduction,4096,2048,0.000109,33.579,308.064
Sequentiel,4096,2048,0.011397,67.158,5.8926
Basic,4096,2048,0.004445,67.158,15.1087
Atomic,4096,2048,0.000131,33.579,256.328
Partial_reduction,4096,2048,0.000143,33.579,234.818
Reduction,4096,2048,0.000148,33.579,226.885
Sequentiel,4096,2048,0.011632,67.158,5.77356
Basic,4096,2048,0.004477,67.158,15.0007
Atomic,4096,2048,0.000226,33.579,148.58
Partial_reduction,4096,2048,0.000113,33.579,297.159
Reduction,4096,2048,0.000105,33.579,319.8
Sequentiel,4096,2048,0.011166,67.158,6.01451
Basic,4096,2048,0.004409,67.158,15.232
Atomic,4096,2048,0.000106,33.579,316.783
Partial_reduction,4096,2048,0.000106,33.579,316.783
Reduction,4096,2048,0.000135,33.579,248.733
Sequentiel,4096,2048,0.012362,67.158,5.43262
Basic,4096,2048,0.004338,67.158,15.4813
Atomic,4096,2048,0.000103,33.579,326.01
Partial_reduction,4096,2048,0.000118,33.579,284.568
Reduction,4096,2048,0.000213,33.579,157.648
Sequentiel,4096,2048,0.011546,67.158,5.81656
Basic,4096,2048,0.004449,67.158,15.0951
Atomic,4096,2048,0.000102,33.579,329.206
Partial_reduction,4096,2048,0.000203,33.579,165.414
Reduction,4096,2048,0.000221,33.579,151.941
Sequentiel,4096,2048,0.01041,67.158,6.4513
Basic,4096,2048,0.004452,67.158,15.0849
Atomic,4096,2048,0.000256,33.579,131.168
Partial_reduction,4096,2048,0.000147,33.579,228.429
Reduction,4096,2048,0.000115,33.579,291.991
Sequentiel,4096,2048,0.010388,67.158,6.46496
Basic,4096,2048,0.00444,67.158,15.1257
Atomic,4096,2048,0.000148,33.579,226.885
Partial_reduction,4096,2048,0.000118,33.579,284.568
Reduction,4096,2048,0.000126,33.579,266.5
Sequentiel,4096,2048,0.010598,67.158,6.33686
Basic,4096,2048,0.004432,67.158,15.153
Atomic,4096,2048,0.000114,33.579,294.553
Partial_reduction,4096,2048,0.000181,33.579,185.519
Reduction,4096,2048,0.000188,33.579,178.612
Sequentiel,4096,2048,0.010134,67.158,6.627
Basic,4096,2048,0.004493,67.158,14.9473
Atomic,4096,2048,0.000157,33.579,213.879
Partial_reduction,4096,2048,0.000105,33.579,319.8
Reduction,4096,2048,0.000153,33.579,219.471
Sequentiel,4096,2048,0.012764,67.158,5.26152
Basic,4096,2048,0.004423,67.158,15.1838
Atomic,4096,2048,0.000136,33.579,246.904
Partial_reduction,4096,2048,0.000126,33.579,266.5
Reduction,4096,2048,0.000109,33.579,308.064
Sequentiel,4096,2048,0.011841,67.158,5.67165
Basic,4096,2048,0.004437,67.158,15.1359
Atomic,4096,2048,0.000112,33.579,299.813
Partial_reduction,4096,2048,0.000144,33.579,233.188
Reduction,4096,2048,0.000106,33.579,316.783
Sequentiel,4096,2048,0.011673,67.158,5.75328
Basic,4096,2048,0.004427,67.158,15.1701
Atomic,4096,2048,0.000118,33.579,284.568
Partial_reduction,4096,2048,0.000118,33.579,284.568
Reduction,4096,2048,0.000104,33.579,322.875
Sequentiel,4096,2048,0.010631,67.158,6.31719
Basic,4096,2048,0.004436,67.158,15.1393
Atomic,4096,2048,0.000124,33.579,270.798
Partial_reduction,4096,2048,0.000196,33.579,171.321
Reduction,4096,2048,0.00012,33.579,279.825
Sequentiel,4096,2048,0.011823,67.158,5.68029
Basic,4096,2048,0.004429,67.158,15.1632
Atomic,4096,2048,0.000157,33.579,213.879
Partial_reduction,4096,2048,0.000112,33.579,299.813
Reduction,4096,2048,0.000108,33.579,310.917
Sequentiel,4096,2048,0.011556,67.158,5.81153
Basic,4096,2048,0.004532,67.158,14.8186
Atomic,4096,2048,0.000104,33.579,322.875
Partial_reduction,4096,2048,0.000114,33.579,294.553
Reduction,4096,2048,0.000193,33.579,173.984
Sequentiel,4096,2048,0.010255,67.158,6.54881
Basic,4096,2048,0.004515,67.158,14.8744
Atomic,4096,2048,0.000169,33.579,198.692
Partial_reduction,4096,2048,9.4e-05,33.579,357.223
Reduction,4096,2048,0.000104,33.579,322.875
Sequentiel,4096,2048,0.011687,67.158,5.74639
Basic,4096,2048,0.004414,67.158,15.2148
Atomic,4096,2048,0.00015,33.579,223.86
Partial_reduction,4096,2048,0.000105,33.579,319.8
Reduction,4096,2048,0.000116,33.579,289.474
Sequentiel,4096,2048,0.012519,67.158,5.36449
Basic,4096,2048,0.004489,67.158,14.9606
Atomic,4096,2048,0.000111,33.579,302.514
Partial_reduction,4096,2048,0.000139,33.579,241.576
Reduction,4096,2048,0.000111,33.579,302.514
Sequentiel,4096,2048,0.011458,67.158,5.86123
Basic,4096,2048,0.004458,67.158,15.0646
Atomic,4096,2048,0.000109,33.579,308.064
Partial_reduction,4096,2048,0.000113,33.579,297.159
Reduction,4096,2048,0.000112,33.579,299.813
Sequentiel,4096,2048,0.011696,67.158,5.74196
Basic,4096,2048,0.004484,67.158,14.9773
Atomic,4096,2048,0.000156,33.579,215.25
Partial_reduction,4096,2048,0.000232,33.579,144.737
Reduction,4096,2048,0.000117,33.579,287
Sequentiel,4096,2048,0.011587,67.158,5.79598
Basic,4096,2048,0.004448,67.158,15.0985
Atomic,4096,2048,0.000165,33.579,203.509
Partial_reduction,4096,2048,0.00015,33.579,223.86
Reduction,4096,2048,0.000149,33.579,225.362
Sequentiel,4096,2048,0.011258,67.158,5.96536
Basic,4096,2048,0.004431,67.158,15.1564
Atomic,4096,2048,0.000152,33.579,220.915
Partial_reduction,4096,2048,0.000114,33.579,294.553
Reduction,4096,2048,0.000152,33.579,220.915
Sequentiel,4096,2048,0.010939,67.158,6.13932
Basic,4096,2048,0.004424,67.158,15.1804
Atomic,4096,2048,0.000138,33.579,243.326
Partial_reduction,4096,2048,0.00011,33.579,305.264
Reduction,4096,2048,0.000136,33.579,246.904
Sequentiel,4096,2048,0.012232,67.158,5.49035
Basic,4096,2048,0.004525,67.158,14.8416
Atomic,4096,2048,0.00012,33.579,279.825
Partial_reduction,4096,2048,0.00015,33.579,223.86
Reduction,4096,2048,0.000144,33.579,233.188
Sequentiel,4096,2048,0.011823,67.158,5.68029
Basic,4096,2048,0.004528,67.158,14.8317
Atomic,4096,2048,0.000138,33.579,243.326
Partial_reduction,4096,2048,0.000206,33.579,163.005
Reduction,4096,2048,0.000113,33.579,297.159
Sequentiel,4096,2048,0.011268,67.158,5.96007
Basic,4096,2048,0.004408,67.158,15.2355
Atomic,4096,2048,0.000122,33.579,275.238
Partial_reduction,4096,2048,0.000166,33.579,202.283
Reduction,4096,2048,0.000115,33.579,291.991
Sequentiel,4096,2048,0.011326,67.158,5.92954
Basic,4096,2048,0.004392,67.158,15.291
Atomic,4096,2048,0.000155,33.579,216.639
Partial_reduction,4096,2048,0.000145,33.579,231.579
Reduction,4096,2048,0.000181,33.579,185.519
Sequentiel,4096,2048,0.013278,67.158,5.05784
Basic,4096,2048,0.004444,67.158,15.1121
Atomic,4096,2048,0.000203,33.579,165.414
Partial_reduction,4096,2048,0.000101,33.579,332.465
Reduction,4096,2048,0.000182,33.579,184.5
Sequentiel,4096,2048,0.011712,67.158,5.73412
Basic,4096,2048,0.004435,67.158,15.1427
Atomic,4096,2048,0.0001,33.579,335.79
Partial_reduction,4096,2048,0.000113,33.579,297.159
Reduction,4096,2048,0.00022,33.579,152.632
Sequentiel,4096,2048,0.01078,67.158,6.22987
Basic,4096,2048,0.004373,67.158,15.3574
Atomic,4096,2048,0.000246,33.579,136.5
Partial_reduction,4096,2048,0.000218,33.579,154.032
Reduction,4096,2048,0.000108,33.579,310.917
Sequentiel,4096,2048,0.012546,67.158,5.35294
Basic,4096,2048,0.004452,67.158,15.0849
Atomic,4096,2048,0.000165,33.579,203.509
Partial_reduction,4096,2048,0.000118,33.579,284.568
Reduction,4096,2048,0.000138,33.579,243.326
Sequentiel,4096,2048,0.010417,67.158,6.44696
Basic,4096,2048,0.004437,67.158,15.1359
Atomic,4096,2048,0.00011,33.579,305.264
Partial_reduction,4096,2048,0.00021,33.579,159.9
Reduction,4096,2048,0.000114,33.579,294.553
Sequentiel,4096,2048,0.010229,67.158,6.56545
Basic,4096,2048,0.004442,67.158,15.1189
Atomic,4096,2048,0.00014,33.579,239.85
Partial_reduction,4096,2048,0.000139,33.579,241.576
Reduction,4096,2048,0.000146,33.579,229.993
Sequentiel,4096,2048,0.012059,67.158,5.56912
Basic,4096,2048,0.004373,67.158,15.3574
Atomic,4096,2048,0.000144,33.579,233.188
Partial_reduction,4096,2048,0.000127,33.579,264.402
Reduction,4096,2048,0.000165,33.579,203.509
Sequentiel,4096,2048,0.0117,67.158,5.74
Basic,4096,2048,0.004427,67.158,15.1701
Atomic,4096,2048,0.000122,33.579,275.238
Partial_reduction,4096,2048,0.000144,33.579,233.188
Reduction,4096,2048,0.000112,33.579,299.813
Sequentiel,4096,2048,0.010303,67.158,6.5183
Basic,4096,2048,0.004421,67.158,15.1907
Atomic,4096,2048,0.000143,33.579,234.818
Partial_reduction,4096,2048,0.000144,33.579,233.188
Reduction,4096,2048,8.2e-05,33.579,409.5
Sequentiel,16384,8192,0.607576,1073.94,1.76758
Basic,16384,8192,0.064455,1073.94,16.6618
Atomic,16384,8192,0.000131,536.969,4099
Partial_reduction,16384,8192,0.000172,536.969,3121.91
Reduction,16384,8192,0.000124,536.969,4330.4
Sequentiel,16384,8192,0.234992,1073.94,4.57011
Basic,16384,8192,0.055889,1073.94,19.2156
Atomic,16384,8192,0.000152,536.969,3532.69
Partial_reduction,16384,8192,0.000123,536.969,4365.6
Reduction,16384,8192,0.000223,536.969,2407.93
Sequentiel,16384,8192,0.200677,1073.94,5.35158
Basic,16384,8192,0.064451,1073.94,16.6629
Atomic,16384,8192,0.000126,536.969,4261.66
Partial_reduction,16384,8192,0.0002,536.969,2684.85
Reduction,16384,8192,0.000147,536.969,3652.85
Sequentiel,16384,8192,0.183658,1073.94,5.84749
Basic,16384,8192,0.060161,1073.94,17.8511
Atomic,16384,8192,0.000157,536.969,3420.19
Partial_reduction,16384,8192,0.000147,536.969,3652.85
Reduction,16384,8192,0.000235,536.969,2284.98
Sequentiel,16384,8192,0.181569,1073.94,5.91477
Basic,16384,8192,0.051794,1073.94,20.7348
Atomic,16384,8192,0.000172,536.969,3121.91
Partial_reduction,16384,8192,0.000139,536.969,3863.09
Reduction,16384,8192,0.000136,536.969,3948.3
Sequentiel,16384,8192,0.1997,1073.94,5.37776
Basic,16384,8192,0.053187,1073.94,20.1917
Atomic,16384,8192,0.000143,536.969,3755.03
Partial_reduction,16384,8192,0.000147,536.969,3652.85
Reduction,16384,8192,0.000135,536.969,3977.55
Sequentiel,16384,8192,0.750044,1073.94,1.43183
Basic,16384,8192,0.060724,1073.94,17.6856
Atomic,16384,8192,0.000136,536.969,3948.3
Partial_reduction,16384,8192,0.000198,536.969,2711.97
Reduction,16384,8192,0.000115,536.969,4669.3
Sequentiel,16384,8192,0.195814,1073.94,5.48448
Basic,16384,8192,0.053322,1073.94,20.1406
Atomic,16384,8192,0.000124,536.969,4330.4
Partial_reduction,16384,8192,0.000111,536.969,4837.56
Reduction,16384,8192,0.000118,536.969,4550.59
Sequentiel,16384,8192,0.172038,1073.94,6.24245
Basic,16384,8192,0.055689,1073.94,19.2846
Atomic,16384,8192,0.000154,536.969,3486.81
Partial_reduction,16384,8192,0.000124,536.969,4330.4
Reduction,16384,8192,0.00015,536.969,3579.79
Sequentiel,16384,8192,0.196273,1073.94,5.47166
Basic,16384,8192,0.05141,1073.94,20.8897
Atomic,16384,8192,0.000137,536.969,3919.48
Partial_reduction,16384,8192,0.000125,536.969,4295.75
Reduction,16384,8192,0.00017,536.969,3158.64
Sequentiel,16384,8192,0.21807,1073.94,4.92474
Basic,16384,8192,0.054028,1073.94,19.8774
Atomic,16384,8192,0.000128,536.969,4195.07
Partial_reduction,16384,8192,0.000115,536.969,4669.3
Reduction,16384,8192,0.000176,536.969,3050.96
Sequentiel,16384,8192,0.192894,1073.94,5.56751
Basic,16384,8192,0.052191,1073.94,20.5771
Atomic,16384,8192,0.000142,536.969,3781.47
Partial_reduction,16384,8192,0.000273,536.969,1966.92
Reduction,16384,8192,0.000115,536.969,4669.3
Sequentiel,16384,8192,0.207483,1073.94,5.17603
Basic,16384,8192,0.063814,1073.94,16.8292
Atomic,16384,8192,0.00013,536.969,4130.53
Partial_reduction,16384,8192,0.00028,536.969,1917.75
Reduction,16384,8192,0.000113,536.969,4751.94
Sequentiel,16384,8192,0.184964,1073.94,5.8062
Basic,16384,8192,0.062527,1073.94,17.1756
Atomic,16384,8192,0.000138,536.969,3891.08
Partial_reduction,16384,8192,0.000124,536.969,4330.4
Reduction,16384,8192,0.000169,536.969,3177.33
Sequentiel,16384,8192,0.179874,1073.94,5.9705
Basic,16384,8192,0.05353,1073.94,20.0624
Atomic,16384,8192,0.000179,536.969,2999.83
Partial_reduction,16384,8192,0.000138,536.969,3891.08
Reduction,16384,8192,0.000122,536.969,4401.39
Sequentiel,16384,8192,0.180951,1073.94,5.93497
Basic,16384,8192,0.051324,1073.94,20.9247
Atomic,16384,8192,0.00012,536.969,4474.74
Partial_reduction,16384,8192,0.000222,536.969,2418.78
Reduction,16384,8192,0.000226,536.969,2375.97
Sequentiel,16384,8192,0.360338,1073.94,2.98036
Basic,16384,8192,0.059048,1073.94,18.1875
Atomic,16384,8192,0.000123,536.969,4365.6
Partial_reduction,16384,8192,0.000131,536.969,4099
Reduction,16384,8192,0.000142,536.969,3781.47
Sequentiel,16384,8192,0.326555,1073.94,3.28869
Basic,16384,8192,0.053045,1073.94,20.2458
Atomic,16384,8192,0.000229,536.969,2344.84
Partial_reduction,16384,8192,0.000178,536.969,3016.68
Reduction,16384,8192,0.000123,536.969,4365.6
Sequentiel,16384,8192,0.182336,1073.94,5.88989
Basic,16384,8192,0.057913,1073.94,18.544
Atomic,16384,8192,0.000171,536.969,3140.17
Partial_reduction,16384,8192,0.000152,536.969,3532.69
Reduction,16384,8192,0.000227,536.969,2365.5
Sequentiel,16384,8192,0.178872,1073.94,6.00395
Basic,16384,8192,0.059481,1073.94,18.0552
Atomic,16384,8192,0.000226,536.969,2375.97
Partial_reduction,16384,8192,0.000206,536.969,2606.65
Reduction,16384,8192,0.000216,536.969,2485.97
Sequentiel,16384,8192,0.211351,1073.94,5.0813
Basic,16384,8192,0.051314,1073.94,20.9288
Atomic,16384,8192,0.000272,536.969,1974.15
Partial_reduction,16384,8192,0.000183,536.969,2934.26
Reduction,16384,8192,0.000171,536.969,3140.17
Sequentiel,16384,8192,0.174307,1073.94,6.16119
Basic,16384,8192,0.064408,1073.94,16.674
Atomic,16384,8192,0.000115,536.969,4669.3
Partial_reduction,16384,8192,0.000176,536.969,3050.96
Reduction,16384,8192,0.000157,536.969,3420.19
Sequentiel,16384,8192,0.676265,1073.94,1.58804
Basic,16384,8192,0.064464,1073.94,16.6595
Atomic,16384,8192,0.000171,536.969,3140.17
Partial_reduction,16384,8192,0.000161,536.969,3335.21
Reduction,16384,8192,0.000141,536.969,3808.29
Sequentiel,16384,8192,0.177948,1073.94,6.03513
Basic,16384,8192,0.051311,1073.94,20.93
Atomic,16384,8192,0.000141,536.969,3808.29
Partial_reduction,16384,8192,0.000137,536.969,3919.48
Reduction,16384,8192,0.000126,536.969,4261.66
Sequentiel,16384,8192,0.182714,1073.94,5.8777
Basic,16384,8192,0.051354,1073.94,20.9125
Atomic,16384,8192,0.000142,536.969,3781.47
Partial_reduction,16384,8192,0.000245,536.969,2191.71
Reduction,16384,8192,0.00013,536.969,4130.53
Sequentiel,16384,8192,0.189421,1073.94,5.66958
Basic,16384,8192,0.0514,1073.94,20.8937
